time,open,high,low,close,volume
2017-07-26 03:00:00,1246.63,1248.82,1246.4,1248.8,1666689
2017-07-26 04:00:00,1248.84,1248.9,1247.57,1248.34,1370757
2017-07-26 05:00:00,1248.41,1248.46,1247.66,1247.77,1120041
2017-07-26 06:00:00,1247.77,1247.81,1246.07,1247.25,1840690
2017-07-26 07:00:00,1247.24,1248.2,1246.84,1246.9,821650
2017-07-26 08:00:00,1246.87,1247.02,1244.73,1245.54,1163942
2017-07-26 09:00:00,1245.53,1246.41,1243.69,1245.01,1815614
2017-07-26 10:00:00,1245.09,1245.82,1244.15,1245.26,1597739
2017-07-26 11:00:00,1245.21,1246.46,1245.01,1245.24,1221167
2017-07-26 12:00:00,1245.23,1246.66,1245.15,1246.04,1367302
2017-07-26 13:00:00,1246.05,1247.88,1246.02,1247.5,1229497
2017-07-26 14:00:00,1247.49,1248.14,1246.73,1246.9,1072614
2017-07-26 15:00:00,1246.92,1247.61,1245.51,1246.68,1680805
2017-07-26 16:00:00,1246.68,1248.86,1245.92,1247.96,4320497
2017-07-26 17:00:00,1248.01,1249.41,1247.59,1247.95,3558006
2017-07-26 18:00:00,1247.97,1248.49,1247.42,1247.93,1619940
2017-07-26 19:00:00,1247.93,1248.54,1247.66,1248.04,1024077
2017-07-26 20:00:00,1248.05,1251.63,1248.05,1250.64,2026216
2017-07-26 21:00:00,1250.65,1256.48,1248.33,1256.19,5537967
2017-07-26 22:00:00,1256.23,1263.46,1256.23,1261.02,4938921
2017-07-26 23:00:00,1261.02,1261.41,1258.74,1260.84,1323202
2017-07-27 01:00:00,1260.1,1261.69,1259.45,1261.22,1001224
2017-07-27 02:00:00,1261.27,1261.33,1259.68,1260.17,1624234
2017-07-27 03:00:00,1260.17,1262.77,1259.76,1261.4,2176343
2017-07-27 04:00:00,1261.44,1263.88,1261.23,1263.0,1957495
2017-07-27 05:00:00,1263.0,1263.98,1262.2,1263.7,1524449
2017-07-27 06:00:00,1263.66,1264.85,1263.28,1263.93,1640776
2017-07-27 07:00:00,1263.89,1264.33,1262.53,1263.04,1504705
2017-07-27 08:00:00,1263.1,1264.29,1262.47,1263.11,1432800
2017-07-27 09:00:00,1263.1,1263.87,1261.71,1262.63,2044369
2017-07-27 10:00:00,1262.65,1262.92,1261.26,1261.94,1916206
2017-07-27 11:00:00,1261.94,1262.86,1260.78,1262.27,1256254
2017-07-27 12:00:00,1262.27,1263.2,1261.24,1261.63,1132268
2017-07-27 13:00:00,1261.56,1262.93,1261.1,1262.24,1525852
2017-07-27 14:00:00,1262.24,1263.78,1261.31,1261.41,1830860
2017-07-27 15:00:00,1261.46,1265.17,1261.42,1263.38,1893946
2017-07-27 16:00:00,1263.37,1263.81,1261.63,1263.29,3473560
2017-07-27 17:00:00,1263.29,1263.59,1256.61,1257.62,3832649
2017-07-27 18:00:00,1257.67,1259.73,1257.24,1257.52,1734845
2017-07-27 19:00:00,1257.53,1259.11,1254.44,1259.02,2696850
2017-07-27 20:00:00,1259.0,1261.88,1258.05,1260.88,3917206
2017-07-27 21:00:00,1260.85,1262.45,1259.27,1260.92,3337092
2017-07-27 22:00:00,1260.96,1261.06,1259.24,1259.86,1593168
2017-07-27 23:00:00,1259.82,1259.91,1257.81,1258.42,1180662
